"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F4.5","Prime lens","F22","Leica M","null","15 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_15_4p5","","Voigtlander","489.00 ","699.00","Voigtlander 15mm F4.5 Super Wide Heliar"
"F2.8","Prime lens","F22","Fujifilm X, Sony E","null","50 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_touit_50_2p8","Jan 30, 2014","Zeiss","886.19","","Zeiss Touit 50mm F2.8"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX)","null","85 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_otus_85mm_1p4","","Zeiss","4,393.39","","Zeiss Otus 85mm F1.4"
"F2","Prime lens","F22","Canon EF, Nikon F (FX)","null","100 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_100_2p0","Sep 10, 2015","Zeiss","1,488.09 ","1,803.29","Zeiss Milvus 100mm F2"
"F3.5","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF","null","20 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_20_3p5_slii","","Voigtlander","699.00 ","729.00","Voigtlander 20mm F3.5 Color Skopar SL II"
"F2","Prime lens","F22","Canon EF, Nikon F (FX)","null","50 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_50_2_m","Sep 10, 2015","Zeiss","1,255.39 ","1,283.00","Zeiss Milvus 50mm F2 Macro"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX)","null","50 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_50_1p4","Sep 10, 2015","Zeiss","1,199.00","","Zeiss Milvus 50mm F1.4"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX)","null","35 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_35_1p4","","Zeiss","1,999.00","","Zeiss Milvus 35mm F1.4"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX)","null","25 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_25_1p4","","Zeiss","","","Zeiss Milvus 25mm F1.4"
"F2.8","Prime lens","F22","Canon EF, Nikon F (DX)","null","21 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_21_2p8","Sep 10, 2015","Zeiss","1,803.29","","Zeiss Milvus 21mm F2.8"
