"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","150 ","https://www.dpreview.com/products/sigma/lenses/sigma_150_2p8_os_hsm-macro","Sep 21, 2010","Sigma","","","Sigma 150mm F2.8 EX DG OS Macro HSM"
"F5.6","Zoom lens","F32","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","300–800 ","https://www.dpreview.com/products/sigma/lenses/sigma_300-800_5p6_dg","Feb 14, 2005","Sigma","7,999.00","","Sigma 300-800mm F5.6 EX DG HSM"
"F5–6.3","Zoom lens","F22–28","Canon EF, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","150–500 ","https://www.dpreview.com/products/sigma/lenses/sigma_150-500_5-6p3_os","Jan 31, 2008","Sigma","825.99 ","1,069.00","Sigma 150-500mm F5-6.3 DG OS HSM"
"F1.8","Prime lens","F16","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","135 ","https://www.dpreview.com/products/sigma/lenses/sigma_135_1p8_dg_hsm_art","","Sigma","","","Sigma 135mm F1.8 DG HSM Art"
"F4.5–5.6","Zoom lens","F22–28","Pentax KAF3, Sony/Minolta Alpha","null","120–400 ","https://www.dpreview.com/products/sigma/lenses/sigma_120-400_4p5-5p6_dg","Jan 31, 2008","Sigma","","","Sigma 120-400mm F4.5-5.6 DG HSM"
"F2.8","Zoom lens","F22","Canon EF, Nikon F (FX)","null","120–300 ","https://www.dpreview.com/products/sigma/lenses/sigma_120-300_2p8_ex_dg_os_hsm","Sep 21, 2010","Sigma","3,100.00 ","3,199.00","Sigma 120-300mm F2.8 EX DG OS HSM"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet, Sony/Minolta Alpha","null","105 ","https://www.dpreview.com/products/sigma/lenses/sigma_105_2p8_os","","Sigma","482.59 ","969.00","Sigma 105mm F2.8 EX DG OS HSM"
"F2.8","Zoom lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","120–300 ","https://www.dpreview.com/products/sigma/lenses/sigma_120-300_2p8","Sep 17, 2012","Sigma","2,899.89 ","3,599.00","Sigma 120-300mm F2.8 DG OS HSM"
"F4.5–5.6","Zoom lens","F22–28","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","120–400 ","https://www.dpreview.com/products/sigma/lenses/sigma_120-400_4p5-5p6_dg_os","Jan 31, 2008","Sigma","669.99 ","899.00","Sigma 120-400mm F4.5-5.6 DG OS HSM"
"F2.8","Zoom lens","F32","Canon EF, Sigma SA Bayonet, Nikon F (FX)","null","120–300 ","https://www.dpreview.com/products/sigma/lenses/sigma_120-300_2p8_dg","Feb 14, 2005","Sigma","2,781.49","","Sigma 120-300mm F2.8 EX DG HSM"
"F5–6.3","Zoom lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","100–400 ","https://www.dpreview.com/products/sigma/lenses/sigma_100-400_5-6p3_dg_os_hsm","","Sigma","","","Sigma 100-400mm F5-6.3 DG OS HSM"
"F2.8","Prime lens","F32","Canon EF, Four Thirds, Pentax KAF, Sony/Minolta Alpha, Sigma SA Bayonet, Nikon F (FX)","null","105 ","https://www.dpreview.com/products/sigma/lenses/sigma_105_2p8_macro","Jun 20, 2004","Sigma","482.59 ","569.00","Sigma 105mm F2.8 EX DG Macro"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","85 ","https://www.dpreview.com/products/sigma/lenses/sigma_85_1p4","Feb 20, 2010","Sigma","629.99 ","1,125.19","Sigma 85mm F1.4 EX DG HSM"
"F4–5.6","Zoom lens","F22–32","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","70–300 ","https://www.dpreview.com/products/sigma/lenses/sigma_70-300_4-5p6_apo","","Sigma","195.00 ","199.00","Sigma 70-300mm F4-5.6 APO DG Macro"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","70 ","https://www.dpreview.com/products/sigma/lenses/sigma_70_2p8_macro","","Sigma","978.55","","Sigma 70mm F2.8 EX DG Macro"
"F4–5.6","Zoom lens","F22–32","Canon EF, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","70–300 ","https://www.dpreview.com/products/sigma/lenses/sigma_70-300_4-5p6_os","","Sigma","359.00","","Sigma 70-300mm F4-5.6 DG OS"
"F2.8","Zoom lens","F22","Canon EF, Four Thirds, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","https://www.dpreview.com/reviews/sigma-70-200-2p8-n15","70–200 ","https://www.dpreview.com/products/sigma/lenses/sigma_70-200_2p8","","Sigma","1,199.00","","Sigma 70-200mm F2.8 EX DG Macro HSM II"
"F2.8","Prime lens","F22","Micro Four Thirds, Sony E","null","60 ","https://www.dpreview.com/products/sigma/lenses/sigma_a_m_60_2p8","Jan 29, 2013","Sigma","239.00","","Sigma 60mm F2.8 DN Art"
"F2.8","Prime lens","F32","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","50 ","https://www.dpreview.com/products/sigma/lenses/sigma_50_2p8_macro","Jun 20, 2004","Sigma","359.95 ","525.86","Sigma 50mm F2.8 EX DG Macro"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX), Sigma SA Bayonet","https://www.dpreview.com/reviews/sigma-85mm-f1-4-art-lens","85 ","https://www.dpreview.com/products/sigma/lenses/sigma_85_1p4_dg_hsm_a","Sep 19, 2016","Sigma","","","Sigma 85mm F1.4 DG HSM Art"
"F2.8","Zoom lens","F22","Canon EF, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","https://www.dpreview.com/reviews/sigma-70-200-2p8-os-c16","70–200 ","https://www.dpreview.com/products/sigma/lenses/sigma_70-200_2p8_os","Feb 20, 2010","Sigma","1,149.00 ","1,299.00","Sigma 70-200mm F2.8 EX DG OS HSM"
"F4.5–6.3","Zoom lens","F22–32","Canon EF, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","50–500 ","https://www.dpreview.com/products/sigma/lenses/sigma_50-500_4p5-6p3_os","Feb 20, 2010","Sigma","1,659.00","","Sigma 50-500mm F4.5-6.3 DG OS HSM"
"F2.8","Zoom lens","F22","Canon EF-S, Nikon F (DX), Sigma SA Bayonet","null","50–150 ","https://www.dpreview.com/products/sigma/lenses/sigma_50-150_2p8_os","","Sigma","","","Sigma 50-150mm F2.8 EX DC APO OS HSM"
"F1.4","Prime lens","F16","Canon EF, Four Thirds, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","https://www.dpreview.com/reviews/sigma-50-1p4-c16","50 ","https://www.dpreview.com/products/sigma/lenses/sigma_50_1p4","Mar 18, 2008","Sigma","499.00 ","799.95","Sigma 50mm F1.4 EX DG HSM"
"F4–5.6","Zoom lens","F22–32","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","50–200 ","https://www.dpreview.com/products/sigma/lenses/sigma_50-200_4-5p6_os","","Sigma","159.99 ","239.99","Sigma 50-200mm F4-5.6 DC OS HSM"
"F2.8","Prime lens","F22","Micro Four Thirds, Sony E","null","30 ","https://www.dpreview.com/products/sigma/lenses/sigma_a_m_30_2p8","Jan 29, 2013","Sigma","188.00 ","199.00","Sigma 30mm F2.8 DN Art"
"F2.8","Prime lens","F22","Micro Four Thirds, Sony E","null","30 ","https://www.dpreview.com/products/sigma/lenses/sigma_m_30_2p8","Jan 10, 2012","Sigma","","","Sigma 30mm F2.8 EX DN"
"F1.4","Prime lens","F16","Canon EF-S, Four Thirds, Nikon F (DX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","30 ","https://www.dpreview.com/products/sigma/lenses/sigma_30_1p4","Feb 14, 2005","Sigma","465.00 ","579.30","Sigma 30mm F1.4 EX DC HSM"
"F1.8","Zoom lens","F16","Canon EF, Nikon F (DX), Sigma SA Bayonet","null","50–100 ","https://www.dpreview.com/products/sigma/lenses/sigma_50-100_1p8_dc_hsm_art","Feb 23, 2016","Sigma","1,099.00","","Sigma 50-100mm F1.8 DC HSM Art"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","https://www.dpreview.com/reviews/sigma-35mm-f1-4-dg-hsm","35 ","https://www.dpreview.com/products/sigma/lenses/sigma_35_1p4","Sep 17, 2012","Sigma","781.89 ","999.00","Sigma 35mm F1.4 DG HSM Art"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX), Sigma SA Bayonet, Sony/Minolta Alpha","https://www.dpreview.com/reviews/sigma-50mm-f1-4-dg-hsm","50 ","https://www.dpreview.com/products/sigma/lenses/sigma_50_1p4_a","","Sigma","739.09 ","1,027.00","Sigma 50mm F1.4 DG HSM Art"
"F1.4","Prime lens","F16","Canon EF-S, Nikon F (DX), Sigma SA Bayonet","null","30 ","https://www.dpreview.com/products/sigma/lenses/sigma_a_30_1p4","Jan 29, 2013","Sigma","499.00","","Sigma 30mm F1.4 DC HSM Art"
"F1.4","Prime lens","F16","Micro Four Thirds","https://www.dpreview.com/reviews/sigma-30mm-f1-4-dc-dn-contemporary-micro-four-thirds-lens-review","30 ","https://www.dpreview.com/products/sigma/lenses/sigma_30_1p4_dc_dn_c_mft","Feb 23, 2016","Sigma","335.00","","Sigma 30mm F1.4 DC DN | C for Micro Four Thirds"
"F2.8","Zoom lens","F32","Canon EF, Pentax KAF, Sony/Minolta Alpha, Sigma SA Bayonet, Nikon F (FX)","null","24–70 ","https://www.dpreview.com/products/sigma/lenses/sigma_24-70_2p8_macro","Sep 22, 2004","Sigma","","","Sigma 24-70mm F2.8 EX DG Macro"
"F1.8","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","28 ","https://www.dpreview.com/products/sigma/lenses/sigma_28_1p8","","Sigma","449.00 ","599.99","Sigma 28mm F1.8 EX DG Aspherical Macro"
"F1.4","Prime lens","F16","Sony E","https://www.dpreview.com/reviews/sigma-30mm-f-1-4-dc-dn-contemporary-lens-review","30 ","https://www.dpreview.com/products/sigma/lenses/sigma_30_1p4_dc_dn_c","Feb 23, 2016","Sigma","321.70","","Sigma 30mm F1.4 DC DN | C for Sony E-mount"
"F1.8","Prime lens","F22","Canon EF, Four Thirds, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","24 ","https://www.dpreview.com/products/sigma/lenses/sigma_24_1p8","","Sigma","549.00","","Sigma 24mm F1.8 EX DG Aspherical Macro"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","24 ","https://www.dpreview.com/products/sigma/lenses/sigma_24_1p4_dg_hsm_a","Feb 10, 2015","Sigma","755.39 ","849.00","Sigma 24mm F1.4 DG HSM Art"
"F2.8","Zoom lens","F22","Canon EF, Nikon F (FX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","24–70 ","https://www.dpreview.com/products/sigma/lenses/sigma_24-70_2p8_hsm","Sep 23, 2008","Sigma","740.71 ","899.00","Sigma 24-70mm F2.8 EX DG HSM"
"F4","Zoom lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet, Sony/Minolta Alpha","null","24–105 ","https://www.dpreview.com/products/sigma/lenses/sigma_24-105_4","Oct 16, 2013","Sigma","749.99 ","899.00","Sigma 24-105mm F4 DG OS HSM"
"F2","Zoom lens","F16","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","24–35 ","https://www.dpreview.com/products/sigma/lenses/sigma_24-35_2","Jun 19, 2015","Sigma","759.69 ","999.00","Sigma 24-35mm F2 DG HSM Art"
"F2.8","Prime lens","F22","Micro Four Thirds, Sony E","null","19 ","https://www.dpreview.com/products/sigma/lenses/sigma_m_19_2p8","Jan 10, 2012","Sigma","199.00","","Sigma 19mm F2.8 EX DN"
"F3.5–6.3","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony FE","null","18–300 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-300_3p5-6p3_dc_macro_os_hsm_c","Sep 12, 2014","Sigma","399.00 ","579.00","Sigma 18-300 F3.5-6.3 DC Macro OS HSM | C"
"F2.8","Zoom lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","24–70 ","https://www.dpreview.com/products/sigma/lenses/sigma_24-70_2p8_dg_os_hsm_art","","Sigma","","","Sigma 24-70mm F2.8 DG OS HSM Art"
"F3.5–6.3","Zoom lens","F22–40","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","https://www.dpreview.com/reviews/sigma-18-250-3p5-6p3-os-c16","18–250 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-250_3p5-6p3_os","Jan 15, 2009","Sigma","279.00 ","317.00","Sigma 18-250mm F3.5-6.3 DC OS HSM"
"F1.8","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","20 ","https://www.dpreview.com/products/sigma/lenses/sigma_20_1p8","","Sigma","629.00","","Sigma 20mm F1.8 EX DG Aspherical RF"
"F3.5–6.3","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","null","18–200 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-200_3p5-6p3_os_hsm","Oct 10, 2011","Sigma","284.00 ","493.51","Sigma 18-200mm f/3.5-6.3 II DC OS HSM"
"F3.5–6.3","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","https://www.dpreview.com/reviews/sigma-18-250mm-3p5-6p3-os-hsm-macro","18–250 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-250_3p5-6p3_os_m","Jun 15, 2012","Sigma","279.00 ","318.39","Sigma 18-250mm F3.5-6.3 DC Macro OS HSM"
"F3.5–6.3","Zoom lens","F22–40","Canon EF-S, Nikon F (DX), Sigma SA Bayonet","https://www.dpreview.com/reviews/sigma-18-200-3p5-6p3-os-n15","18–200 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-200_3p5-6p3_os","Sep 30, 2006","Sigma","254.95 ","610.53","Sigma 18-200mm F3.5-6.3 DC OS HSM"
"F3.8–5.6","Zoom lens","F22–36","Canon EF-S, Nikon F (DX), Sigma SA Bayonet","null","18–125 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-125_3p8-5p6_os","Jan 31, 2008","Sigma","","","Sigma 18-125mm F3.8-5.6 DC OS HSM"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","20 ","https://www.dpreview.com/products/sigma/lenses/sigma_20_1p4","Oct 16, 2015","Sigma","899.00 ","1,422.29","Sigma 20mm F1.4 DG HSM Art"
"F3.5–6.3","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","null","18–200 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-200_3p5-6p3_c","","Sigma","378.19 ","399.00","Sigma 18-200mm F3.5-6.3 DC Macro OS HSM | C"
"F3.8–5.6","Zoom lens","F22–36","Canon EF-S, Pentax KAF3, Sony/Minolta Alpha","null","18–125 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-125_3p8-5p6_hsm","Jan 31, 2008","Sigma","326.59","","Sigma 18-125mm F3.8-5.6 DC HSM"
"F2.8","Prime lens","F22","Micro Four Thirds, Sony E","null","19 ","https://www.dpreview.com/products/sigma/lenses/sigma_a_m_19_2p8","Jan 29, 2013","Sigma","199.00","","Sigma 19mm F2.8 DN Art"
"F2.8–4.5","Zoom lens","F22–36","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","18–50 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-50_2p8-4p5_os","","Sigma","199.00 ","498.89","Sigma 18-50mm F2.8-4.5 DC OS HSM"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","15 ","https://www.dpreview.com/products/sigma/lenses/sigma_15_2p8","","Sigma","524.99 ","609.00","Sigma 15mm F2.8 EX DG Diagonal Fisheye"
"F2.8–4","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","https://www.dpreview.com/reviews/sigma-17-70mm-f2-8-4-os-hsm","17–70 ","https://www.dpreview.com/products/sigma/lenses/sigma_17-70_2p8-4","Sep 17, 2012","Sigma","385.00 ","499.00","Sigma 17-70mm F2.8-4 DC Macro OS HSM | C"
"F1.4","Prime lens","F16","Micro Four Thirds","null","16 ","https://www.dpreview.com/products/sigma/lenses/sigma_16_1p4_dc_dn_mft","","Sigma","","","Sigma 16mm F1.4 DC DN (Micro Four Thirds)"
"F3.5–6.3","Zoom lens","F22–40","Canon EF, Nikon F (DX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","18–200 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-200_3p5-6p3","Feb 14, 2005","Sigma","249.00 ","610.53","Sigma 18-200mm F3.5-6.3 DC"
"F2.8–4","Zoom lens","F22–32","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","17–70 ","https://www.dpreview.com/products/sigma/lenses/sigma_17-70_2p8-4_os","","Sigma","495.65","","Sigma 17-70mm F2.8-4 DC Macro OS HSM"
"F1.4","Prime lens","F16","Sony E","null","16 ","https://www.dpreview.com/products/sigma/lenses/sigma_16_1p4_dc_dn_e-mount","","Sigma","","","Sigma 16mm F1.4 DC DN (Sony E-mount)"
"F1.8","Prime lens","F16","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","14 ","https://www.dpreview.com/products/sigma/lenses/sigma_14_1p8_dg_hsm_art","","Sigma","","","Sigma 14mm F1.8 DG HSM Art"
"F4–5.6","Zoom lens","F22–32","Canon EF-S, Nikon F (DX), Pentax KAF, Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","https://www.dpreview.com/reviews/sigma-10-20-4-5p6-n15","10–20 ","https://www.dpreview.com/products/sigma/lenses/sigma_10-20_4-5p6","Feb 14, 2005","Sigma","320.00 ","1,803.14","Sigma 10-20mm F4-5.6 EX DC HSM"
"F4.5–5.6","Zoom lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet, Sony/Minolta Alpha","null","12–24 ","https://www.dpreview.com/products/sigma/lenses/sigma_12-24_4p5-5p6_ii","","Sigma","949.00","","Sigma 12-24mm F4.5-5.6 II DG HSM"
"F4.5–5.6","Zoom lens","F22","Canon EF, Pentax KAF, Sony/Minolta Alpha, Sigma SA Bayonet, Nikon F (FX)","null","12–24 ","https://www.dpreview.com/products/sigma/lenses/sigma_12-24_4p5-5p6","","Sigma","729.95","","Sigma 12-24mm F4.5-5.6 EX DG Aspherical HSM"
"F1.8","Zoom lens","F16","Canon EF-S, Nikon F (DX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha DT","https://www.dpreview.com/reviews/sigma-18-35-1-8","18–35 ","https://www.dpreview.com/products/sigma/lenses/sigma_18-35_1p8","Apr 18, 2013","Sigma","669.89 ","799.00","Sigma 18-35mm F1.8 DC HSM Art"
"F2.8","Prime lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","10 ","https://www.dpreview.com/products/sigma/lenses/sigma_10_2p8","Nov 14, 2007","Sigma","579.00 ","837.54","Sigma 10mm F2.8 EX DC HSM Diagonal Fisheye"
"F4","Zoom lens","","Canon EF, Nikon F (FX), Sigma SA Bayonet","https://www.dpreview.com/reviews/sigma-12-24mm-f4-dg-hsm-art-lens-review","12–24 ","https://www.dpreview.com/products/sigma/lenses/sigma_12-24_4_dg_hsm_a","Sep 19, 2016","Sigma","","","Sigma 12-24mm F4 DG HSM Art"
"F2.8","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","null","17–50 ","https://www.dpreview.com/products/sigma/lenses/sigma_17-50_2p8_os","Feb 20, 2010","Sigma","302.99 ","549.00","Sigma 17-50mm F2.8 EX DC OS HSM"
"F4.5–5.6","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","null","8–16 ","https://www.dpreview.com/products/sigma/lenses/sigma_8-16_4p5-5p6","Feb 20, 2010","Sigma","575.99 ","699.00","Sigma 8-16mm F4.5-5.6 DC HSM"
"F3.5","Prime lens","F22","Canon EF, Nikon F (FX), Sigma SA Bayonet","null","8 ","https://www.dpreview.com/products/sigma/lenses/sigma_8_3p5","","Sigma","684.69 ","899.00","Sigma 8mm F3.5 EX DG Circular Fisheye"
"","Teleconverter","","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","","https://www.dpreview.com/products/sigma/lenses/sigma_teleconverter_1p4x","","Sigma","249.00 ","320.59","Sigma 1.4x EX DG Tele Converter"
"F3.5","Zoom lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha DT","null","10–20 ","https://www.dpreview.com/products/sigma/lenses/sigma_10-20_3p5","","Sigma","399.00 ","649.00","Sigma 10-20mm F3.5 EX DC HSM"
"F4.5","Prime lens","F32","Canon EF, Nikon F (FX), Pentax KAF, Sony/Minolta Alpha","null","90 ","https://www.dpreview.com/products/schneider/lenses/schneider_pcts_90_4p5","Sep 17, 2010","Schneider","","","Schneider PC-TS Macro-Symmar 4.5/90 HM"
"F2.8","Prime lens","F22","Canon EF-S, Nikon F (DX), Pentax KAF3, Sigma SA Bayonet, Sony/Minolta Alpha","null","5 ","https://www.dpreview.com/products/sigma/lenses/sigma_4p5_2p8","Nov 14, 2007","Sigma","799.00","","Sigma 4.5mm F2.8 EX DC HSM Circular Fisheye"
"F2.8","Prime lens","F32","Canon EF, Nikon F (FX), Pentax KAF, Sony/Minolta Alpha","null","50 ","https://www.dpreview.com/products/schneider/lenses/schneider_pcts_50_2p8","Sep 17, 2010","Schneider","","","Schneider PC-TS Super-Angulon 2.8/50 HM"
"F2.8","Prime lens","F22","Canon EF, Pentax KAF, Sony/Minolta Alpha, Nikon F (FX)","null","28 ","https://www.dpreview.com/products/schneider/lenses/schneider_pc_28_2p8","","Schneider","","","Schneider PC-Super-Angulon 28mm f/2.8"
"","Teleconverter","","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","","https://www.dpreview.com/products/sigma/lenses/sigma_teleconverter_2x","","Sigma","292.49 ","299.00","Sigma 2x EX DG Tele Converter"
"F1.4","Prime lens","F16","Sony E","null","50 ","https://www.dpreview.com/products/samyang/lenses/samyang_af_50_1p4_fe","","Samyang","","","Samyang AF 50mm F1.4 FE"
"F6.3","Prime lens","F6.3","Canon EF-S, Four Thirds, Nikon F (DX), Sony/Minolta Alpha","null","300 ","https://www.dpreview.com/products/samyang/lenses/samyang_300_6p3_slr","Apr 28, 2014","Samyang","279.00 ","299.95","Samyang Reflex 300mm f/6.3 UMC CS"
"F3.5","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF, Sony/Minolta Alpha, Sony E","null","24 ","https://www.dpreview.com/products/samyang/lenses/samyang_ts_24_3p5","","Samyang","699.00 ","899.50","Samyang T-S 24mm F3.5 ED AS UMC"
"F6.3","Prime lens","F6.3","Canon EF-M, Fujifilm X, Micro Four Thirds, Sony E","null","300 ","https://www.dpreview.com/products/samyang/lenses/samyang_300_6p3","Jun 13, 2013","Samyang","249.99 ","279.00","Samyang Reflex 300mm  f/6.3 ED UMC CS"
"F2.4","Prime lens","F22","Canon EF","null","14 ","https://www.dpreview.com/products/samyang/lenses/samyang_mf_14_2p4","Sep 12, 2016","Samyang","","","Samyang Premium MF 14mm F2.4"
"F1.4","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF, Sony/Minolta Alpha, Sony E","null","50 ","https://www.dpreview.com/products/samyang/lenses/samyang_50_1p4_as_umc","Aug 27, 2014","Samyang","298.00 ","399.00","Samyang 50mm F1.4 AS UMC"
"F2.8","Prime lens","F22","Sony FE","null","35 ","https://www.dpreview.com/products/samyang/lenses/samyang_35_2p8_fe","","Samyang","","","Samyang AF 35mm F2.8 FE"
"F1.2","Prime lens","F16","Canon EF","null","85 ","https://www.dpreview.com/products/samyang/lenses/samyang_mf_85_1p2","Sep 12, 2016","Samyang","","","Samyang Premium MF 85mm F1.2"
"F2.8","Prime lens","F22","Sony FE","null","14 ","https://www.dpreview.com/products/samyang/lenses/samyang_af_14_2p8_fe","Aug 17, 2016","Samyang","","","Samyang AF 14mm F2.8 FE"
"F2","Prime lens","F22","Canon EF, Canon EF-M, Four Thirds, Fujifilm X, Micro Four Thirds, Nikon F (FX), Pentax KAF, Samsung NX, Sony/Minolta Alpha, Sony E","null","135 ","https://www.dpreview.com/products/samyang/lenses/samyang_135_2p0_ed_umc","Jan 12, 2015","Samyang","479.00 ","599.00","Samyang 135mm F2.0 ED UMC"
"F2.8","Prime lens","F32","Canon EF, Fujifilm X, Micro Four Thirds, Nikon F (FX), Pentax KAF, Samsung NX, Sony/Minolta Alpha, Sony E","null","100 ","https://www.dpreview.com/products/samyang/lenses/samyang_100_2p8_macro","","Samyang","402.42 ","549.00","Samyang 100mm F2.8 Macro"
"F1.4","Prime lens","F22","Canon EF, Nikon F (FX), Four Thirds, Pentax KAF, Sony/Minolta Alpha, Sony E, Samsung NX","null","85 ","https://www.dpreview.com/products/samyang/lenses/samyang_85_1p4","","Samyang","249.00 ","289.00","Samyang 85mm F1.4 Aspherical IF"
"F1.2","Prime lens","F16","Canon EF-M, Fujifilm X, Micro Four Thirds, Sony E","null","50 ","https://www.dpreview.com/products/samyang/lenses/samyang_50_1p2_as_umc_cs","Sep 21, 2015","Samyang","","","Samyang 50mm F1.2 AS UMC CS"
"F1.4","Prime lens","F22","Canon EF, Nikon F (FX), Four Thirds, Pentax KAF, Sony/Minolta Alpha, Sony E, Samsung NX","null","24 ","https://www.dpreview.com/products/samyang/lenses/samyang_24_1p4","Aug 12, 2011","Samyang","253.77 ","549.00","Samyang 24mm f/1.4 ED AS UMC"
"F1.4","Prime lens","F22","Canon EF, Nikon F (FX), Four Thirds, Pentax KAF, Sony/Minolta Alpha, Sony E, Samsung NX","null","35 ","https://www.dpreview.com/products/samyang/lenses/samyang_35_1p4","Sep 16, 2010","Samyang","367.35 ","599.99","Samyang 35mm F1.4 AS UMC"
"F1.2","Prime lens","F16","Canon EF-M, Fujifilm X, Micro Four Thirds, Sony E","null","35 ","https://www.dpreview.com/products/samyang/lenses/samyang_35_1p2_as_umc_cs","","Samyang","","","Samyang 35mm F1.2 ED AS UMC CS"
"F1.4","Prime lens","F22","Canon EF-M, Fujifilm X, Micro Four Thirds, Sony E","null","21 ","https://www.dpreview.com/products/samyang/lenses/samyang_21_1p4_ed_as_umc_cs","Sep 21, 2015","Samyang","","","Samyang 21mm F1.4 ED AS UMC CS"
